Date,Open,High,Low,Close,Volume,Change
2020-01-02,10750,10850,10600,10700,25360,-0.0046511627906976605
2020-01-03,10700,10750,10550,10650,27130,-0.004672897196261627
2020-01-06,10650,10650,10150,10300,115140,-0.032863849765258246
2020-01-07,10300,10500,10300,10450,34490,0.014563106796116498
2020-01-08,10300,10550,10050,10250,86320,-0.019138755980861233
2020-01-09,10500,10500,10200,10350,49270,0.009756097560975618
2020-01-10,10400,10500,10200,10500,57170,0.01449275362318847
2020-01-13,10400,11400,10400,11350,237210,0.08095238095238089
2020-01-14,11250,11900,11200,11450,193020,0.008810572687224738
2020-01-15,11450,11850,11350,11650,112120,0.017467248908296984
2020-01-16,11700,12500,11550,12500,316000,0.07296137339055786
2020-01-17,12750,12850,12300,12450,110410,-0.0040000000000000036
2020-01-20,12550,12550,12100,12350,85190,-0.008032128514056214
2020-01-21,12450,12450,12100,12400,75500,0.004048582995951344
2020-01-22,12399,12700,12200,12550,92440,0.012096774193548487
2020-01-23,12450,12650,12150,12450,67860,-0.007968127490039834
2020-01-28,12000,12150,11550,11700,114190,-0.06024096385542166
2020-01-29,11900,11950,11500,11650,50810,-0.004273504273504258
2020-01-30,11650,11800,11350,11400,73840,-0.02145922746781115
2020-01-31,11500,11850,11050,11300,102610,-0.00877192982456143
2020-02-03,11599,12749,11350,11450,1130110,0.01327433628318575
2020-02-04,11500,11600,10849,11350,336560,-0.008733624454148492
2020-02-05,11300,11600,11100,11500,156100,0.013215859030837107
2020-02-06,11550,11750,11350,11500,175760,0.0
2020-02-07,11550,11550,11299,11400,123540,-0.008695652173912993
2020-02-10,11500,11550,11150,11400,59970,0.0
2020-02-11,11350,11450,11150,11200,117750,-0.01754385964912286
2020-02-12,11200,11350,11150,11250,102750,0.0044642857142858094
2020-02-13,11200,11350,11150,11200,110930,-0.004444444444444473
2020-02-14,11149,11250,10800,10800,222960,-0.0357142857142857
2020-02-17,10800,11000,10800,10900,106990,0.0092592592592593
2020-02-18,10850,10950,10800,10900,42820,0.0
2020-02-19,10900,11550,10799,10950,91730,0.004587155963302836
2020-02-20,11150,11150,10650,10700,80480,-0.022831050228310557
2020-02-21,10700,10750,10300,10300,113660,-0.03738317757009346
2020-02-24,10000,10200,9610,10050,323350,-0.024271844660194164
2020-02-25,9920,10400,9920,10300,59460,0.02487562189054726
2020-02-26,10000,10600,9990,10300,57530,0.0
2020-02-27,10400,10500,10000,10000,36980,-0.029126213592232997
2020-02-28,10000,10150,9500,9500,138240,-0.050000000000000044
2020-03-02,9410,9710,9360,9580,72020,0.008421052631578885
2020-03-03,9780,9800,9600,9600,61080,0.0020876826722338038
2020-03-04,9560,9970,9560,9970,60910,0.038541666666666696
2020-03-05,10100,10350,9960,10250,62570,0.028084252758274753
2020-03-06,10200,10300,9950,10300,82990,0.004878048780487809
2020-03-09,10100,10250,9950,10000,68390,-0.029126213592232997
2020-03-10,10000,10150,9850,10150,42940,0.014999999999999902
2020-03-11,10200,10200,9900,9940,72500,-0.020689655172413834
2020-03-12,9940,9940,9270,9270,120860,-0.06740442655935619
2020-03-13,8400,9300,7740,9220,281970,-0.005393743257820938
2020-03-16,9020,9200,8820,8820,46130,-0.04338394793926248
2020-03-17,8530,9000,8320,8810,60580,-0.0011337868480725266
2020-03-18,8970,9080,8420,8420,33140,-0.04426787741203175
2020-03-19,8650,8650,7200,7410,153790,-0.11995249406175768
2020-03-20,7410,7699,7410,7620,58400,0.028340080971659853
2020-03-23,7350,7639,7190,7510,61590,-0.014435695538057791
2020-03-24,7700,9180,7700,8700,135450,0.15845539280958731
2020-03-25,8850,9490,8350,8790,93570,0.010344827586206806
2020-03-26,8790,8980,8630,8690,45430,-0.011376564277588153
2020-03-27,8760,8990,8530,8660,39790,-0.0034522439585730202
2020-03-30,8510,8730,8310,8730,30410,0.008083140877598094
2020-03-31,8870,9600,8720,9600,130210,0.09965635738831624
2020-04-01,9990,10300,9830,9930,76990,0.034375000000000044
2020-04-02,10000,10200,9560,10150,81770,0.022155085599194324
2020-04-03,10150,10350,9960,10000,154250,-0.014778325123152691
2020-04-06,10000,10300,9970,10200,97870,0.020000000000000018
2020-04-07,10650,10650,10200,10300,48880,0.009803921568627416
2020-04-08,10400,10899,10300,10600,61360,0.029126213592232997
2020-04-09,10800,11099,10600,11000,161850,0.037735849056603765
2020-04-10,11000,11200,10800,10900,88740,-0.009090909090909038
2020-04-13,10900,11050,10700,10900,128880,0.0
2020-04-14,10900,11500,10650,10700,161750,-0.01834862385321101
2020-04-16,10700,11400,10550,11100,82310,0.03738317757009346
2020-04-17,11500,11550,11050,11150,124900,0.0045045045045044585
2020-04-20,11150,11250,10800,10900,48680,-0.022421524663677084
2020-04-21,10850,10950,10450,10900,123400,0.0
2020-04-22,10700,10850,10549,10800,31220,-0.00917431192660545
2020-04-23,10800,11150,10700,11100,57620,0.02777777777777768
2020-04-24,11100,11400,11050,11250,120660,0.013513513513513598
2020-04-27,11250,11400,11000,11200,88960,-0.004444444444444473
2020-04-28,11200,11850,11150,11500,147620,0.02678571428571419
2020-04-29,11500,11550,11000,11300,77330,-0.017391304347826098
2020-05-04,11200,11350,10950,11200,39540,-0.008849557522123908
2020-05-06,11400,11400,11200,11400,39870,0.017857142857142794
2020-05-07,11450,11800,11400,11650,119910,0.021929824561403466
2020-05-08,11700,12000,11600,11900,87520,0.02145922746781115
2020-05-11,11900,12200,11900,12050,76840,0.012605042016806678
2020-05-12,12250,12450,11900,11900,122650,-0.012448132780082943
2020-05-13,11799,12300,11700,11900,109370,0.0
2020-05-14,11899,12600,11650,12600,157970,0.05882352941176472
2020-05-15,12750,12800,12000,12000,96320,-0.04761904761904767
2020-05-18,12000,12250,11650,12150,92960,0.012499999999999956
2020-05-19,12050,12250,11850,11950,49350,-0.016460905349794275
2020-05-20,11950,12050,11650,11950,65030,0.0
2020-05-21,11950,12000,11650,11700,66960,-0.02092050209205021
2020-05-22,11700,11800,11500,11650,63590,-0.004273504273504258
2020-05-25,11649,11750,11550,11600,58900,-0.0042918454935622075
2020-05-26,11600,12200,11600,12150,71670,0.047413793103448176
2020-05-27,12150,12200,11500,11600,81040,-0.04526748971193417
2020-05-28,11700,12500,11650,12050,214890,0.0387931034482758
2020-05-29,12350,13400,12000,13400,404480,0.11203319502074693
2020-06-01,13300,13750,12950,13100,204560,-0.02238805970149249
2020-06-02,13100,13100,12400,12700,218490,-0.03053435114503822
2020-06-03,12750,12900,12450,12750,157600,0.003937007874015741
2020-06-04,12650,12950,12500,12650,101570,-0.007843137254901933
2020-06-05,12650,13500,12500,12850,133830,0.015810276679841806
2020-06-08,12899,13100,12850,13000,63120,0.011673151750972721
2020-06-09,13000,13800,13000,13600,195570,0.04615384615384621
2020-06-10,13500,13550,13200,13200,79680,-0.02941176470588236
2020-06-11,13350,13350,13000,13350,74090,0.011363636363636465
2020-06-12,12800,13300,12600,13200,107920,-0.011235955056179803
2020-06-15,13000,13250,12250,12250,90590,-0.07196969696969702
2020-06-16,12650,13400,12450,13400,69850,0.09387755102040818
2020-06-17,13400,13400,12800,13300,67130,-0.007462686567164201
2020-06-18,13250,13300,12800,12800,70000,-0.03759398496240607
2020-06-19,12850,12900,12650,12800,43840,0.0
2020-06-22,12800,12850,12400,12500,71050,-0.0234375
2020-06-23,12650,12800,12350,12700,42110,0.016000000000000014
2020-06-24,12750,12900,12500,12600,22140,-0.007874015748031482
2020-06-25,12500,12500,12250,12300,25490,-0.023809523809523836
