Date,Open,High,Low,Close,Volume,Change
2020-01-02,12850,12850,12350,12700,5309,-0.011673151750972721
2020-01-03,12700,12700,12300,12500,9217,-0.015748031496062964
2020-01-06,12300,12350,12150,12150,4837,-0.028000000000000025
2020-01-07,12200,12350,12200,12300,3145,0.012345679012345734
2020-01-08,12300,12300,12000,12100,9631,-0.016260162601625994
2020-01-09,12200,15700,12000,14400,898323,0.1900826446280992
2020-01-10,13850,14250,12750,13400,264023,-0.06944444444444442
2020-01-13,13100,13250,12700,12850,83135,-0.04104477611940294
2020-01-14,12900,13400,12750,12850,84700,0.0
2020-01-15,12800,13250,12750,13250,49529,0.03112840466926059
2020-01-16,13200,13200,12850,13000,23934,-0.018867924528301883
2020-01-17,12950,13200,12900,13200,11601,0.01538461538461533
2020-01-20,13150,13250,12800,12950,12026,-0.018939393939393923
2020-01-21,13000,13050,12750,12800,15474,-0.01158301158301156
2020-01-22,12800,12900,12700,12800,8044,0.0
2020-01-23,12700,12900,12600,12600,9130,-0.015625
2020-01-28,12200,12500,12050,12300,22683,-0.023809523809523836
2020-01-29,12300,12400,12200,12400,8573,0.008130081300812941
2020-01-30,12400,12450,12300,12300,18147,-0.008064516129032251
2020-01-31,12400,12400,12050,12150,17243,-0.012195121951219523
2020-02-03,11900,12050,11000,11950,16167,-0.016460905349794275
2020-02-04,11850,12350,11850,12250,5919,0.025104602510460206
2020-02-05,12350,12750,12300,12650,14683,0.03265306122448974
2020-02-06,12600,12750,12500,12700,3014,0.0039525691699604515
2020-02-07,12550,13500,12550,13150,52032,0.03543307086614167
2020-02-10,13250,13350,12750,12800,18687,-0.026615969581749055
2020-02-11,12900,13250,12750,13250,15520,0.03515625
2020-02-12,13250,13400,12850,13050,27199,-0.015094339622641506
2020-02-13,13200,13200,12450,12800,21647,-0.019157088122605415
2020-02-14,12800,13900,12800,12800,129657,0.0
2020-02-17,12800,12950,12650,12700,18448,-0.0078125
2020-02-18,12950,13050,12650,12700,15351,0.0
2020-02-19,12800,13000,12550,12850,17986,0.011811023622047223
2020-02-20,12850,12950,12650,12750,6581,-0.0077821011673151474
2020-02-21,12750,12750,12450,12450,6517,-0.02352941176470591
2020-02-24,12400,12700,12150,12250,16507,-0.016064257028112428
2020-02-25,12050,12500,12050,12500,5004,0.020408163265306145
2020-02-26,12350,12750,12350,12750,7414,0.020000000000000018
2020-02-27,12800,12800,12400,12400,7095,-0.027450980392156876
2020-02-28,12300,12450,11800,12100,10357,-0.024193548387096753
2020-03-02,12100,12200,11800,11950,4308,-0.012396694214875992
2020-03-03,12100,12250,12050,12250,1850,0.025104602510460206
2020-03-04,12150,12300,12150,12300,3389,0.004081632653061273
2020-03-05,12400,12900,12250,12550,15107,0.020325203252032464
2020-03-06,12400,12600,12100,12300,5901,-0.019920318725099584
2020-03-09,12100,12350,11700,11950,7817,-0.028455284552845517
2020-03-10,11800,11950,11500,11850,6115,-0.008368200836820106
2020-03-11,11800,11950,11300,11300,8111,-0.04641350210970463
2020-03-12,11300,11300,10300,10350,10454,-0.08407079646017701
2020-03-13,9500,9960,9110,9880,15512,-0.04541062801932372
2020-03-16,10050,11450,9530,9760,86035,-0.012145748987854255
2020-03-17,9010,9670,9010,9550,13558,-0.021516393442622905
2020-03-18,9600,9750,9130,9130,4132,-0.043979057591623016
2020-03-19,9040,9270,7190,7500,23341,-0.1785323110624315
2020-03-20,7540,7840,7210,7790,10394,0.03866666666666663
2020-03-23,7100,7340,6850,7240,8537,-0.07060333761232351
2020-03-24,7330,7960,7090,7950,21650,0.09806629834254155
2020-03-25,8080,8420,7990,8300,21752,0.04402515723270439
2020-03-26,8130,8560,8040,8390,14100,0.010843373493975905
2020-03-27,8500,8660,8300,8440,16703,0.005959475566150285
2020-03-30,8390,8540,8010,8490,9300,0.005924170616113722
2020-03-31,8710,9540,8420,9170,28826,0.0800942285041224
2020-04-01,10600,11500,9490,9490,116290,0.034896401308615044
2020-04-02,9210,9500,9010,9270,22287,-0.023182297154899945
2020-04-03,9270,9370,8960,9200,17760,-0.007551240560949246
2020-04-06,9010,9450,8960,9290,17812,0.009782608695652284
2020-04-07,9450,9650,9310,9500,14173,0.022604951560817987
2020-04-08,9380,9850,9380,9770,10455,0.028421052631578902
2020-04-09,9670,9880,9670,9840,18620,0.007164790174001956
2020-04-10,10350,10400,9610,9850,23093,0.00101626016260159
2020-04-13,9830,9900,9710,9870,7318,0.0020304568527917954
2020-04-14,9870,10050,9870,10050,7845,0.01823708206686936
2020-04-16,10100,10400,9750,10350,15132,0.029850746268656803
2020-04-17,10200,10550,10050,10400,8524,0.004830917874396157
2020-04-20,10450,10900,10400,10650,19077,0.024038461538461453
2020-04-21,10650,11050,9950,10100,21504,-0.05164319248826288
2020-04-22,10050,10300,9740,10300,7114,0.01980198019801982
2020-04-23,10350,10600,10250,10500,3966,0.01941747572815533
2020-04-24,10500,10550,9900,10050,14353,-0.042857142857142816
2020-04-27,10150,10250,10000,10200,2424,0.014925373134328401
2020-04-28,10200,10500,10100,10500,7404,0.02941176470588225
2020-04-29,10600,10900,10500,10650,10326,0.014285714285714235
