Date,Open,High,Low,Close,Volume,Change
2020-01-02,26900,27200,26850,27150,2609,0.0
2020-01-03,27000,27200,26900,27200,2934,0.0018416206261511192
2020-01-06,27200,27200,26750,26900,526,-0.011029411764705843
2020-01-07,27000,27000,26600,26850,3936,-0.0018587360594795044
2020-01-08,26800,26800,25800,26300,3503,-0.020484171322160183
2020-01-09,26050,26450,26050,26450,582,0.005703422053231932
2020-01-10,26100,26400,26100,26250,293,-0.007561436672967825
2020-01-13,26050,26400,26000,26100,594,-0.005714285714285672
2020-01-14,26000,26150,25950,26000,2384,-0.003831417624521105
2020-01-15,26050,26150,25900,26050,1664,0.0019230769230769162
2020-01-16,25900,26000,25800,25950,920,-0.0038387715930902067
2020-01-17,25950,26000,25350,25650,5475,-0.011560693641618491
2020-01-20,25400,25950,25400,25650,2323,0.0
2020-01-21,25450,25600,25300,25400,2669,-0.00974658869395717
2020-01-22,25350,25500,25300,25500,1340,0.003937007874015741
2020-01-23,25500,25500,25050,25150,3369,-0.013725490196078383
2020-01-28,25000,25000,23900,23900,4366,-0.04970178926441349
2020-01-29,24400,24550,23750,23750,3071,-0.006276150627615107
2020-01-30,23750,23900,22950,23000,5333,-0.03157894736842104
2020-01-31,23700,23700,23000,23400,4666,0.017391304347825987
2020-02-03,23200,23400,22900,23350,2397,-0.002136752136752129
2020-02-04,23350,23350,22950,23200,1496,-0.0064239828693790635
2020-02-05,23200,23200,23000,23150,5950,-0.0021551724137931494
2020-02-06,23200,24000,23150,23950,4076,0.03455723542116629
2020-02-07,23950,24300,23250,24250,4130,0.012526096033402823
2020-02-10,24100,24250,23700,24250,4238,0.0
2020-02-11,24250,24750,24000,24750,4356,0.020618556701030855
2020-02-12,24100,24400,23850,24200,3922,-0.022222222222222254
2020-02-13,24150,24350,23900,23950,2978,-0.010330578512396715
2020-02-14,24000,24200,23700,24050,2713,0.0041753653444676075
2020-02-17,24050,24200,23950,24050,819,0.0
2020-02-18,24000,24050,23800,23950,2252,-0.004158004158004158
2020-02-19,23800,24050,23700,24050,928,0.0041753653444676075
2020-02-20,24050,24050,23500,23850,1501,-0.008316008316008316
2020-02-21,23800,23800,23200,23450,2408,-0.016771488469601636
2020-02-24,23450,23450,22300,22450,3110,-0.04264392324093813
2020-02-25,22250,22800,22250,22500,273,0.00222717149220486
2020-02-26,22500,22500,22250,22350,515,-0.00666666666666671
2020-02-27,22550,22550,21650,22150,4981,-0.008948545861297563
2020-02-28,21550,22050,21100,21650,2604,-0.02257336343115124
2020-03-02,21650,21850,21200,21300,1581,-0.0161662817551963
2020-03-03,21550,21600,21200,21550,1186,0.011737089201877993
2020-03-04,21600,21800,21400,21750,1409,0.009280742459396807
2020-03-05,21850,22000,21750,22000,3425,0.011494252873563315
2020-03-06,21900,21900,21300,21700,2178,-0.013636363636363669
2020-03-09,21700,21700,20300,20500,3910,-0.055299539170506895
2020-03-10,20000,20500,20000,20500,1762,0.0
2020-03-11,20500,20500,19750,20100,1427,-0.019512195121951237
2020-03-12,19500,19950,18400,18550,4590,-0.07711442786069655
2020-03-13,17750,17750,15400,17450,11623,-0.05929919137466311
2020-03-16,17450,17750,16350,16350,2459,-0.0630372492836676
2020-03-17,16000,16050,15400,16050,1825,-0.01834862385321101
2020-03-18,16050,16100,15600,15950,2104,-0.006230529595015577
2020-03-19,15950,15950,13150,13150,11992,-0.17554858934169282
2020-03-20,13250,14450,13000,13600,3367,0.034220532319391594
2020-03-23,13400,13400,12800,12800,1425,-0.05882352941176472
2020-03-24,13000,13550,12850,13300,3916,0.0390625
2020-03-25,13500,14550,13500,13800,5119,0.03759398496240607
2020-03-26,14200,14850,14000,14800,6534,0.07246376811594213
2020-03-27,15000,15200,14500,14800,11150,0.0
2020-03-30,14650,14750,13900,14750,940,-0.0033783783783783994
2020-03-31,14750,15250,14750,15250,1310,0.03389830508474567
2020-04-01,15300,15800,15250,15450,3827,0.013114754098360715
2020-04-02,15450,15650,14750,15650,2398,0.012944983818770295
2020-04-03,15700,16100,15500,15850,3042,0.012779552715654896
2020-04-06,15950,16300,15850,16250,2851,0.025236593059936974
2020-04-07,16300,17000,16300,17000,2388,0.04615384615384621
2020-04-08,17000,17750,16900,17700,2518,0.04117647058823537
2020-04-09,18000,18350,17900,18350,3946,0.03672316384180796
2020-04-10,18500,18700,18100,18650,3384,0.016348773841961872
2020-04-13,18650,18700,18000,18500,2280,-0.008042895442359255
2020-04-14,18500,19450,18500,19300,5079,0.043243243243243246
