Date,Open,High,Low,Close,Volume,Change
2020-01-02,46250,46300,45500,45550,15663,-0.015135135135135092
2020-01-03,45750,46100,45100,45200,2630,-0.007683863885839748
2020-01-06,45000,45200,44500,44850,21220,-0.007743362831858391
2020-01-07,45300,45500,44550,44750,3504,-0.0022296544035674826
2020-01-08,45100,45100,43500,44000,9047,-0.016759776536312887
2020-01-09,44050,44500,43550,43800,4540,-0.004545454545454519
2020-01-10,43800,44500,43500,43700,2607,-0.0022831050228310223
2020-01-13,43900,44400,43450,44100,6592,0.009153318077803174
2020-01-14,44450,45000,44400,44900,3736,0.018140589569161092
2020-01-15,45500,45500,44850,44850,1233,-0.00111358574610243
2020-01-16,45100,45300,44700,45300,2175,0.010033444816053505
2020-01-17,45500,45700,44950,45300,5777,0.0
2020-01-20,45250,45650,45100,45200,2618,-0.002207505518763808
2020-01-21,45400,45400,44600,45250,13547,0.0011061946902655162
2020-01-22,45050,45200,44650,44650,2572,-0.013259668508287303
2020-01-23,44650,44650,43650,43800,3617,-0.01903695408734607
2020-01-28,43650,43650,41800,41900,8342,-0.04337899543378998
2020-01-29,42200,42200,41750,41800,3629,-0.0023866348448687846
2020-01-30,41800,42000,41200,41200,3791,-0.014354066985645897
2020-01-31,41600,41700,40800,40800,2450,-0.009708737864077666
2020-02-03,40550,40550,39600,39800,10556,-0.02450980392156865
2020-02-04,39950,40500,39700,40100,11432,0.007537688442211143
2020-02-05,40200,40550,39850,40000,4667,-0.0024937655860348684
2020-02-06,40050,40850,39700,40850,9698,0.02124999999999999
2020-02-07,41000,41000,40500,40700,2966,-0.003671970624234966
2020-02-10,41200,41200,39800,40350,3066,-0.008599508599508643
2020-02-11,41000,41400,40900,41250,8917,0.02230483271375472
2020-02-12,42050,47400,41250,43300,55994,0.049696969696969795
2020-02-13,44000,55000,43350,53200,731613,0.22863741339491916
2020-02-14,53200,62000,47000,47200,601822,-0.1127819548872181
2020-02-17,47050,51000,46250,46500,122240,-0.014830508474576232
2020-02-18,46150,47000,44850,44850,53356,-0.03548387096774197
2020-02-19,45600,45600,44200,44500,30184,-0.0078037904124860225
2020-02-20,44350,44650,43700,44100,23419,-0.008988764044943864
2020-02-21,43500,44000,42900,42900,27056,-0.027210884353741527
2020-02-24,41900,42400,41000,41100,26380,-0.04195804195804198
2020-02-25,41000,42500,40850,41550,12854,0.010948905109489093
2020-02-26,41000,41550,40850,41250,10477,-0.0072202166064981865
2020-02-27,41250,41750,40100,40500,14230,-0.018181818181818188
2020-02-28,40000,40300,39150,39300,21705,-0.029629629629629672
2020-03-02,39450,41650,39400,40500,17353,0.03053435114503822
2020-03-03,40700,41500,40350,40500,10151,0.0
2020-03-04,40050,41050,40050,40750,9287,0.006172839506172867
2020-03-05,40850,41300,40850,40950,5182,0.004907975460122671
2020-03-06,41000,41000,40000,40400,7036,-0.013431013431013383
2020-03-09,40000,40950,39000,40150,29814,-0.006188118811881194
2020-03-10,39400,39900,39000,39050,11999,-0.0273972602739726
2020-03-11,39050,39250,37750,38050,13839,-0.025608194622279146
2020-03-12,37000,37300,35950,36050,18311,-0.05256241787122207
2020-03-13,32650,34900,32650,34050,17813,-0.0554785020804438
2020-03-16,34050,35300,33400,33500,6110,-0.016152716593245242
2020-03-17,31400,33200,30000,33000,18859,-0.014925373134328401
2020-03-18,33050,34450,31800,31800,8987,-0.036363636363636376
2020-03-19,31350,31750,28450,28450,19723,-0.10534591194968557
2020-03-20,27900,29800,27900,29800,13966,0.047451669595782064
2020-03-23,28600,28600,27050,27050,14023,-0.09228187919463082
2020-03-24,27400,28600,27000,28600,9967,0.0573012939001849
2020-03-25,29500,30850,28800,30700,81474,0.07342657342657333
2020-03-26,30750,31800,30000,31100,12208,0.013029315960912058
2020-03-27,32000,32900,30850,31100,14561,0.0
2020-03-30,31000,31600,29950,31300,7482,0.006430868167202508
2020-03-31,32000,33250,31500,32250,9186,0.030351437699680517
2020-04-01,32950,33650,31850,31950,11272,-0.009302325581395321
2020-04-02,31850,32800,31500,32400,2568,0.014084507042253502
2020-04-03,33600,33700,32400,32700,4338,0.0092592592592593
2020-04-06,32650,35200,32650,34700,10092,0.06116207951070329
2020-04-07,35750,36750,35250,35950,9645,0.036023054755043304
2020-04-08,35900,36700,34250,35950,6964,0.0
2020-04-09,36300,37250,36000,36650,5703,0.01947148817802513
2020-04-10,36950,37000,36150,36800,3944,0.004092769440654953
2020-04-13,36800,36800,35700,35950,5577,-0.02309782608695654
2020-04-14,36400,36900,35950,36800,6064,0.02364394993045904
2020-04-16,36800,36850,35750,36850,2636,0.0013586956521738358
2020-04-17,37000,37900,36900,37500,5161,0.01763907734056991
2020-04-20,38000,38450,37550,38150,6285,0.017333333333333423
2020-04-21,38200,38200,36150,37300,7663,-0.022280471821756187
2020-04-22,37000,37050,36050,36950,9533,-0.009383378016085797
2020-04-23,38100,38100,37000,37150,2957,0.005412719891745521
2020-04-24,37150,37850,36800,37400,3370,0.006729475100942128
2020-04-27,37500,40650,37500,40400,53720,0.0802139037433156
2020-04-28,40450,40800,39750,40000,8431,-0.00990099009900991
2020-04-29,40000,40500,40000,40050,3637,0.0012499999999999734
2020-05-04,40000,40000,38700,38700,8764,-0.0337078651685393
2020-05-06,38900,40350,38900,40250,8617,0.040051679586563305
2020-05-07,40100,40400,39750,40050,3379,-0.004968944099378869
2020-05-08,40450,40700,39850,40000,10923,-0.0012484394506866447
2020-05-11,40500,40500,39650,39700,2828,-0.007499999999999951
2020-05-12,39950,40000,38600,39200,3727,-0.012594458438287104
2020-05-13,39200,39500,38550,39450,3242,0.0063775510204082675
2020-05-14,39450,40500,37600,38300,10925,-0.0291508238276299
2020-05-15,38350,39800,38350,38850,5729,0.01436031331592691
2020-05-18,39100,42400,39050,40200,29420,0.03474903474903468
