Date,Open,High,Low,Close,Volume,Change
2020-01-02,10600,10650,10400,10600,5043,0.0
2020-01-03,10500,10650,10500,10550,4199,-0.004716981132075526
2020-01-06,10550,10550,10300,10400,2711,-0.014218009478673022
2020-01-07,10450,10500,10350,10500,3460,0.009615384615384581
2020-01-08,10550,10550,10050,10050,4846,-0.042857142857142816
2020-01-09,10100,10250,10100,10200,1725,0.014925373134328401
2020-01-10,10250,10250,10200,10200,1350,0.0
2020-01-13,10350,10350,10200,10300,1469,0.009803921568627416
2020-01-14,10400,10400,10250,10250,844,-0.004854368932038833
2020-01-15,10250,10250,10000,10100,23122,-0.014634146341463428
2020-01-16,10100,10100,9980,10050,9939,-0.004950495049504955
2020-01-17,10050,10100,9990,10050,1944,0.0
2020-01-20,10050,10050,9970,9990,7830,-0.005970149253731294
2020-01-21,10000,10050,9970,9980,12170,-0.0010010010010009784
2020-01-22,9980,9990,9910,9960,6476,-0.002004008016032066
2020-01-23,9990,9990,9960,9980,1977,0.002008032128514081
2020-01-28,9960,9960,9580,9640,7140,-0.034068136272545124
2020-01-29,9870,9870,9650,9700,1882,0.006224066390041472
2020-01-30,9850,9850,9550,9630,3642,-0.007216494845360799
2020-01-31,9600,9720,9540,9540,2890,-0.009345794392523366
2020-02-03,9490,9490,9200,9320,7569,-0.023060796645702264
2020-02-04,9390,9390,9320,9330,3568,0.0010729613733906351
2020-02-05,9400,9400,9330,9370,880,0.004287245444801746
2020-02-06,9300,9500,9300,9500,1255,0.01387406616862319
2020-02-07,9400,9500,9360,9480,1687,-0.002105263157894721
2020-02-10,9590,9590,9400,9450,1965,-0.0031645569620253333
2020-02-11,9420,9580,9400,9460,5505,0.0010582010582009804
2020-02-12,9470,9560,9420,9540,3133,0.008456659619450413
2020-02-13,9540,9550,9420,9530,8613,-0.0010482180293500676
2020-02-14,9590,9590,9470,9480,1668,-0.005246589716684125
2020-02-17,9480,9480,9390,9400,4598,-0.008438818565400852
2020-02-18,9360,9400,9220,9240,10736,-0.017021276595744705
2020-02-19,9490,9490,9380,9400,6743,0.017316017316017396
2020-02-20,9230,9390,9220,9260,11932,-0.014893617021276562
2020-02-21,9260,9260,9100,9110,9417,-0.016198704103671746
2020-02-24,9100,9100,8800,8840,6583,-0.029637760702524663
2020-02-25,8840,8980,8730,8950,2157,0.012443438914027105
2020-02-26,9000,9000,8950,8990,1196,0.004469273743016755
2020-02-27,9000,9270,9000,9000,1096,0.0011123470522802492
2020-02-28,9000,9000,8730,8730,12973,-0.030000000000000027
2020-03-02,8420,8910,8420,8890,4113,0.01832760595647187
2020-03-03,8900,9040,8900,8920,1771,0.003374578177727683
2020-03-04,8910,8990,8810,8940,2265,0.0022421524663676085
2020-03-05,9000,9180,8900,9000,2096,0.006711409395973256
2020-03-06,8990,8990,8820,8970,1218,-0.0033333333333332993
2020-03-09,8960,8960,8520,8550,5736,-0.04682274247491636
2020-03-10,8400,8480,8400,8480,7558,-0.008187134502923965
2020-03-11,8470,8490,8370,8450,2780,-0.003537735849056589
2020-03-12,8450,8560,7810,7980,15557,-0.0556213017751479
2020-03-13,7600,7600,7040,7210,13806,-0.0964912280701754
2020-03-16,7200,7410,7200,7230,3308,0.00277392510402219
2020-03-17,7100,7210,6850,7030,4019,-0.02766251728907332
2020-03-18,7050,7440,6970,6970,1982,-0.008534850640113834
2020-03-19,6960,6960,5800,5830,10208,-0.163558106169297
2020-03-20,5550,5930,5550,5860,27328,0.005145797598627766
2020-03-23,5590,5590,5300,5310,16362,-0.09385665529010234
2020-03-24,5360,5570,5360,5440,11495,0.024482109227871973
2020-03-25,5600,5810,5600,5810,28579,0.06801470588235303
2020-03-26,5820,6140,5820,6000,15055,0.03270223752151469
2020-03-27,6130,6240,6130,6140,12546,0.023333333333333428
2020-03-30,5990,6240,5990,6170,3225,0.004885993485342022
2020-03-31,6210,6510,6210,6480,3458,0.050243111831442366
2020-04-01,6390,6790,6390,6520,13616,0.006172839506172867
2020-04-02,6770,6770,6450,6620,3125,0.015337423312883347
2020-04-03,6600,6800,6600,6800,2206,0.027190332326284095
2020-04-06,6800,7050,6780,7050,3481,0.03676470588235303
2020-04-07,7100,7590,7090,7390,2785,0.04822695035461
2020-04-08,7600,7800,7390,7770,8038,0.051420838971583116
2020-04-09,8150,8150,7900,8000,8586,0.029601029601029616
2020-04-10,8010,8010,7950,8000,8226,0.0
2020-04-13,10400,10400,10400,10400,16415,0.30000000000000004
2020-04-14,13500,13500,13500,13500,114371,0.29807692307692313
2020-04-16,14700,14700,12000,12300,432688,-0.0888888888888889
2020-04-17,12100,12100,10500,10600,108175,-0.1382113821138211
2020-04-20,10700,10700,10200,10350,58116,-0.02358490566037741
2020-04-21,10000,10000,9500,9700,46713,-0.0628019323671497
2020-04-22,9520,9760,9350,9690,18507,-0.0010309278350515427
2020-04-23,9690,9830,9650,9660,16145,-0.003095975232198178
2020-04-24,9580,9580,9370,9450,17623,-0.021739130434782594
2020-04-27,9590,9750,9500,9550,7607,0.010582010582010692
2020-04-28,9570,9570,9390,9390,16130,-0.01675392670157072
2020-04-29,9360,9460,9360,9390,10716,0.0
2020-05-04,9190,9410,9180,9400,9757,0.0010649627263046302
2020-05-06,9350,9690,9350,9690,11556,0.030851063829787195
2020-05-07,9700,9900,9580,9690,4177,0.0
2020-05-08,9750,9750,9610,9700,4959,0.0010319917440659854
2020-05-11,9750,9770,9610,9720,6635,0.0020618556701030855
2020-05-12,9740,9820,9480,9590,10490,-0.013374485596707841
2020-05-13,9440,9750,9440,9670,7041,0.008342022940563076
2020-05-14,9440,9650,9440,9570,3238,-0.010341261633919352
2020-05-15,9630,9630,9410,9490,9406,-0.008359456635318674
2020-05-18,9820,9820,9530,9580,7589,0.0094836670179137
2020-05-19,9600,9690,9550,9650,3763,0.007306889352818313
2020-05-20,9650,9830,9560,9800,8030,0.015544041450777257
2020-05-21,9810,9810,9220,9610,6577,-0.019387755102040827
2020-05-22,9620,9640,9480,9540,2227,-0.007284079084287187
2020-05-25,9600,9600,9500,9550,1183,0.0010482180293500676
2020-05-26,9510,9730,9510,9710,5108,0.01675392670157061
2020-05-27,9790,9790,9590,9620,5964,-0.009268795056642687
2020-05-28,9720,9720,9480,9520,5125,-0.01039501039501034
2020-05-29,9490,9640,9460,9610,5472,0.009453781512605008
2020-06-01,9610,9670,9560,9670,2768,0.00624349635796051
2020-06-02,9670,9700,9560,9690,2719,0.0020682523267838704
2020-06-03,9730,9760,9630,9740,3738,0.005159958720330149
2020-06-04,9750,9750,9700,9750,5030,0.0010266940451746365
2020-06-05,9750,9770,9660,9760,2481,0.0010256410256410664
2020-06-08,9790,9960,9780,9950,11384,0.01946721311475419
2020-06-09,9980,10650,9980,10250,26030,0.03015075376884413
2020-06-10,10400,10650,10200,10650,29396,0.039024390243902474
2020-06-11,12000,13800,11500,13800,327769,0.295774647887324
2020-06-12,12800,16700,12600,13200,444426,-0.04347826086956519
2020-06-15,12850,15200,12250,12350,187073,-0.06439393939393945
2020-06-16,13100,13100,12600,12800,82092,0.036437246963562764
2020-06-17,12500,12700,11900,12700,77626,-0.0078125
2020-06-18,13200,16500,13200,16500,220943,0.29921259842519676
2020-06-19,16600,16700,12800,13050,189842,-0.2090909090909091
2020-06-22,12800,12800,11900,12350,54196,-0.05363984674329503
2020-06-23,12500,12750,11900,12250,30841,-0.0080971659919028
2020-06-24,12050,12400,12000,12100,31272,-0.01224489795918371
2020-06-25,12300,12300,11650,11900,32088,-0.016528925619834656
2020-06-26,11750,12050,11650,11900,15159,0.0
2020-06-29,11550,11600,11350,11400,18969,-0.04201680672268904
2020-06-30,11550,11950,11550,11700,14969,0.026315789473684292
2020-07-01,12850,15200,11600,11750,419242,0.004273504273504258
2020-07-02,11850,11900,11450,11800,51000,0.004255319148936065
2020-07-03,11650,11700,11500,11550,24170,-0.021186440677966156
2020-07-06,11550,11900,11500,11800,20676,0.02164502164502169
2020-07-07,11800,11950,11800,11950,12542,0.012711864406779627
2020-07-08,11950,12400,11750,12400,21107,0.03765690376569042
2020-07-09,12500,12550,12200,12200,12827,-0.016129032258064502
2020-07-10,12150,12450,11750,12100,17241,-0.008196721311475419
2020-07-13,12200,12200,11850,11900,6377,-0.016528925619834656
2020-07-14,11800,11900,11700,11800,6554,-0.008403361344537785
2020-07-15,11800,11900,11650,11650,10757,-0.012711864406779627
2020-07-16,11600,11750,11550,11600,9293,-0.0042918454935622075
2020-07-17,11600,11650,11500,11600,6945,0.0
2020-07-20,11600,11700,11450,11700,5578,0.008620689655172376
2020-07-21,11850,12150,11600,12000,15646,0.02564102564102555
2020-07-22,12000,12300,11750,12000,20811,0.0
2020-07-23,12050,12050,11600,11850,15446,-0.012499999999999956
2020-07-24,11850,12300,11800,12250,23235,0.03375527426160341
2020-07-27,12250,12650,12250,12400,16202,0.012244897959183598
2020-07-28,12500,12500,12050,12300,11962,-0.008064516129032251
2020-07-29,12450,12600,12300,12550,11413,0.020325203252032464
2020-07-30,12550,12550,12000,12350,12574,-0.015936254980079667
2020-07-31,12150,12150,12000,12150,8080,-0.01619433198380571
2020-08-03,12000,12000,11750,11750,9838,-0.03292181069958844
2020-08-04,11900,12100,11800,12050,5998,0.025531914893617058
2020-08-05,11950,12400,11950,12200,13565,0.012448132780082943
2020-08-06,12400,12550,12200,12500,18734,0.024590163934426146
2020-08-07,12400,12500,12200,12500,15395,0.0
2020-08-10,12550,13200,12550,13100,28074,0.04800000000000004
2020-08-11,13150,13150,12900,12950,12412,-0.011450381679389277
2020-08-12,12900,12900,12500,12850,15451,-0.007722007722007707
2020-08-13,13200,13200,12950,13050,9196,0.015564202334630295
2020-08-14,13200,13200,12700,12950,6119,-0.007662835249042099
2020-08-18,13050,13050,12600,12850,15531,-0.007722007722007707
2020-08-19,12950,13000,12550,13000,6194,0.011673151750972721
2020-08-20,12950,12950,12200,12750,14218,-0.019230769230769273
2020-08-21,12800,13200,12450,13100,13675,0.027450980392156765
2020-08-24,13200,13550,13200,13550,18266,0.03435114503816794
2020-08-25,13850,13850,13700,13800,8720,0.01845018450184499
2020-08-26,13800,13950,13450,13950,8021,0.010869565217391353
2020-08-27,14100,16950,13750,15000,147379,0.07526881720430101
2020-08-28,15000,16900,15000,16150,120201,0.07666666666666666
2020-08-31,16000,16000,14400,15000,61370,-0.07120743034055732
2020-09-01,14900,15600,14550,15600,25079,0.040000000000000036
2020-09-02,15400,15400,14750,15150,24569,-0.028846153846153855
2020-09-03,15300,15300,14650,14750,14534,-0.02640264026402639
2020-09-04,14250,14850,14050,14850,11606,0.006779661016949046
2020-09-07,15400,15400,14950,15300,12306,0.030303030303030276
2020-09-08,15350,15400,14750,14800,4386,-0.0326797385620915
2020-09-09,14700,15200,14400,15200,6840,0.027027027027026973
2020-09-10,15200,15700,15050,15700,7799,0.03289473684210531
