Date,Open,High,Low,Close,Volume,Change
2020-01-02,5710,5720,5610,5680,11093,0.01067615658362997
2020-01-03,5720,5860,5630,5700,22853,0.0035211267605634866
2020-01-06,5600,5660,5490,5520,18702,-0.03157894736842104
2020-01-07,5440,5670,5430,5520,19877,0.0
2020-01-08,5520,5520,5300,5300,21367,-0.03985507246376807
2020-01-09,5310,5490,5310,5450,8123,0.028301886792452935
2020-01-10,5520,5680,5370,5420,38884,-0.0055045871559632475
2020-01-13,5440,5490,5350,5460,18952,0.007380073800737907
2020-01-14,5490,5590,5440,5550,18457,0.016483516483516425
2020-01-15,5550,5560,5470,5560,18707,0.0018018018018017834
2020-01-16,5600,5630,5530,5530,6562,-0.0053956834532373765
2020-01-17,5600,5640,5530,5530,7719,0.0
2020-01-20,5530,5620,5500,5560,12000,0.005424954792043302
2020-01-21,5620,5620,5530,5570,9827,0.0017985611510791255
2020-01-22,5530,5640,5490,5580,14323,0.0017953321364452268
2020-01-23,5550,5560,5500,5540,8946,-0.007168458781361964
2020-01-28,5200,5460,5180,5400,10429,-0.02527075812274371
2020-01-29,5420,5440,5370,5400,7150,0.0
2020-01-30,5570,5570,5310,5310,13623,-0.01666666666666672
2020-01-31,5390,5390,5210,5210,4005,-0.01883239171374762
2020-02-03,5020,5110,4800,5020,13262,-0.03646833013435702
2020-02-04,5090,5220,5050,5150,6502,0.02589641434262946
2020-02-05,5270,5700,5250,5390,46499,0.046601941747572706
2020-02-06,5540,5630,5390,5580,23888,0.03525046382189245
2020-02-07,5570,5900,5460,5640,54477,0.010752688172043001
2020-02-10,5690,5780,5580,5580,21838,-0.010638297872340385
2020-02-11,5650,5840,5570,5760,49155,0.032258064516129004
2020-02-12,5740,5850,5650,5650,33283,-0.01909722222222221
2020-02-13,5730,5750,5500,5520,26748,-0.023008849557522137
2020-02-14,5520,5610,5480,5490,9669,-0.005434782608695676
2020-02-17,5520,5530,5450,5450,4769,-0.007285974499089298
2020-02-18,5450,5460,5420,5440,13030,-0.0018348623853210455
2020-02-19,5460,5500,5430,5440,5256,0.0
2020-02-20,5480,5480,5380,5400,7870,-0.007352941176470562
2020-02-21,5370,5370,5290,5340,9424,-0.011111111111111072
2020-02-24,5110,5220,5090,5180,12358,-0.029962546816479363
2020-02-25,5180,5280,5100,5250,5879,0.013513513513513598
2020-02-26,5200,5290,5180,5200,9083,-0.00952380952380949
2020-02-27,5040,5180,5040,5130,7542,-0.013461538461538414
2020-02-28,4960,5090,4830,4910,26993,-0.042884990253411304
2020-03-02,4940,5010,4840,4960,7336,0.010183299389002087
2020-03-03,5020,5070,5000,5060,11739,0.02016129032258074
2020-03-04,4960,5170,4960,5170,5744,0.021739130434782705
2020-03-05,5220,5530,5150,5460,34341,0.05609284332688591
2020-03-06,5460,5460,5310,5320,7381,-0.02564102564102566
2020-03-09,5320,5320,5000,5080,22776,-0.045112781954887216
2020-03-10,4870,5130,4870,5100,13062,0.003937007874015741
2020-03-11,5130,5190,4980,5010,8366,-0.01764705882352946
2020-03-12,4920,4940,4560,4660,22925,-0.06986027944111772
2020-03-13,4300,4380,3980,4240,20238,-0.09012875536480691
2020-03-16,4140,4510,4090,4100,14910,-0.03301886792452835
2020-03-17,3560,4170,3560,4080,24319,-0.004878048780487809
2020-03-18,3970,4200,3810,3810,24363,-0.06617647058823528
2020-03-19,3720,3870,3000,3180,25023,-0.16535433070866146
2020-03-20,3180,3380,3140,3380,49779,0.06289308176100628
2020-03-23,3310,3310,2880,3140,64742,-0.07100591715976334
2020-03-24,3120,3400,3030,3280,80106,0.04458598726114649
2020-03-25,3400,3570,3400,3510,54102,0.07012195121951215
2020-03-26,3570,3800,3400,3540,62482,0.008547008547008517
2020-03-27,3650,3770,3490,3650,40568,0.031073446327683607
2020-03-30,3480,3760,3480,3740,12147,0.024657534246575352
2020-03-31,3810,4030,3750,3970,29266,0.06149732620320858
2020-04-01,4000,4200,3820,3990,28196,0.005037783375314797
2020-04-02,4070,4070,3810,4040,14439,0.012531328320801949
2020-04-03,4140,4140,4030,4060,6759,0.004950495049504955
2020-04-06,4070,4220,4060,4180,10153,0.029556650246305383
2020-04-07,4460,4700,4300,4420,67520,0.05741626794258381
2020-04-08,4420,4590,4360,4500,15587,0.018099547511312153
2020-04-09,4610,4630,4520,4560,11906,0.01333333333333342
2020-04-10,4500,5100,4500,4800,100694,0.05263157894736836
2020-04-13,4700,4980,4690,4790,20321,-0.002083333333333326
2020-04-14,4760,4890,4760,4810,22909,0.0041753653444676075
2020-04-16,4800,4820,4750,4780,6074,-0.006237006237006182
