Date,Open,High,Low,Close,Volume,Change
2020-01-02,30000,36600,30000,34600,311494,0.18493150684931514
2020-01-03,33850,36900,32800,32800,165670,-0.052023121387283267
2020-01-06,32100,34850,31800,33950,119975,0.035060975609756184
2020-01-07,34550,34700,33200,33300,40986,-0.019145802650957333
2020-01-08,34000,34000,30000,32300,63436,-0.03003003003003002
2020-01-09,34400,35000,33000,33500,84473,0.037151702786377694
2020-01-10,34250,34250,32600,33800,25174,0.008955223880596996
2020-01-13,33800,38800,33250,37100,139038,0.0976331360946745
2020-01-14,37800,37800,34500,35500,87811,-0.04312668463611857
2020-01-15,36000,44500,35550,38200,661918,0.07605633802816891
2020-01-16,39100,43950,38250,40200,254808,0.05235602094240832
2020-01-17,40200,42250,39150,39750,100511,-0.011194029850746245
2020-01-20,40000,41300,38100,38100,74378,-0.04150943396226414
2020-01-21,38100,38900,36100,36600,50188,-0.03937007874015752
2020-01-22,37700,38400,36800,36900,33480,0.008196721311475308
2020-01-23,40500,42500,38100,38700,142622,0.04878048780487809
2020-01-28,36500,37650,36000,36800,41267,-0.04909560723514217
2020-01-29,37500,39350,36250,36900,45719,0.0027173913043478937
2020-01-30,36800,36800,35650,36450,21296,-0.012195121951219523
2020-01-31,35650,37000,31400,33500,25968,-0.08093278463648834
2020-02-03,33500,36300,32550,35700,40648,0.06567164179104479
2020-02-04,35250,36850,35250,35700,34714,0.0
2020-02-05,36650,36700,35100,35450,20199,-0.007002801120448154
2020-02-06,35500,36150,35350,36000,18832,0.015514809590973178
2020-02-07,35950,42000,35350,39350,231542,0.09305555555555545
2020-02-10,39350,41450,36600,39400,145293,0.0012706480304955914
2020-02-11,38850,39800,37950,39700,58534,0.0076142131979695105
2020-02-12,40050,40550,39250,39550,40277,-0.0037783375314861534
2020-02-13,39050,40600,38500,39200,36743,-0.008849557522123908
2020-02-14,38400,39250,38400,38800,25311,-0.010204081632653073
2020-02-17,38300,38850,37650,38400,16079,-0.010309278350515427
2020-02-18,39250,39750,37150,37250,36685,-0.02994791666666663
2020-02-19,37250,38300,35800,36850,24251,-0.010738255033557076
2020-02-20,36850,37450,34500,35550,30798,-0.035278154681139706
2020-02-21,34600,36000,34000,34500,25181,-0.029535864978902926
2020-02-24,31100,33400,31100,32100,27201,-0.06956521739130439
2020-02-25,32100,34100,31600,33950,31086,0.05763239875389403
2020-02-26,33000,33750,32450,33450,12009,-0.014727540500736325
2020-02-27,33100,33800,30750,31450,24582,-0.05979073243647237
2020-02-28,31400,31400,28850,29300,21291,-0.06836248012718604
2020-03-02,30000,31300,28650,31100,20903,0.061433447098976135
