Date,Open,High,Low,Close,Volume,Change
2020-01-02,2025,2030,2010,2020,4777,-0.0024691358024691024
2020-01-03,2025,2075,2020,2040,19221,0.00990099009900991
2020-01-06,2025,2045,2010,2010,4920,-0.014705882352941124
2020-01-07,2030,2050,2010,2025,15278,0.00746268656716409
2020-01-08,2060,2060,1975,1975,17542,-0.024691358024691357
2020-01-09,1980,2010,1980,2000,4646,0.012658227848101333
2020-01-10,2005,2015,1985,2015,6781,0.007500000000000062
2020-01-13,2010,2025,2010,2020,4391,0.002481389578163684
2020-01-14,2020,2065,2020,2045,23429,0.012376237623762387
2020-01-15,2045,2045,1995,2030,14226,-0.007334963325183352
2020-01-16,2025,2040,2015,2030,5741,0.0
2020-01-17,2050,2060,2030,2035,2783,0.0024630541871921707
2020-01-20,2055,2070,2025,2050,18974,0.0073710073710073765
2020-01-21,2065,2065,2030,2045,10399,-0.0024390243902439046
2020-01-22,2040,2060,2035,2055,8489,0.004889975550122161
2020-01-23,2055,2070,2025,2035,5404,-0.009732360097323589
2020-01-28,2030,2030,1965,1970,15129,-0.03194103194103193
2020-01-29,1990,1990,1950,1965,13605,-0.0025380710659898
2020-01-30,1980,1985,1950,1950,19645,-0.007633587786259555
2020-01-31,1965,2000,1945,1950,6215,0.0
2020-02-03,1875,1960,1875,1945,8928,-0.002564102564102555
2020-02-04,1945,1965,1920,1965,5128,0.010282776349614497
2020-02-05,1970,2005,1970,1995,16386,0.01526717557251911
2020-02-06,1995,2040,1995,2005,41826,0.005012531328320913
2020-02-07,2010,2035,1990,2010,32659,0.0024937655860348684
2020-02-10,2000,2030,1995,2010,21576,0.0
2020-02-11,2010,2035,1985,2020,30107,0.004975124378109541
2020-02-12,2020,2025,1995,2015,5287,-0.0024752475247524774
2020-02-13,2015,2020,1995,1995,4316,-0.00992555831265507
2020-02-14,2010,2010,1990,2000,5940,0.0025062656641603454
2020-02-17,1995,2000,1970,1985,16174,-0.007499999999999951
2020-02-18,1980,2025,1945,1955,31464,-0.015113350125944613
2020-02-19,1970,1970,1925,1960,41947,0.002557544757033181
2020-02-20,1965,1985,1930,1945,14521,-0.007653061224489832
2020-02-21,1905,1940,1905,1915,9081,-0.015424164524421635
2020-02-24,1915,1915,1850,1890,7006,-0.01305483028720622
2020-02-25,1830,1900,1830,1890,14976,0.0
2020-02-26,1845,1890,1845,1860,28335,-0.015873015873015928
2020-02-27,1870,1875,1800,1815,44126,-0.024193548387096753
2020-02-28,1845,1845,1740,1755,26882,-0.03305785123966942
2020-03-02,1750,1795,1730,1775,24901,0.01139601139601143
2020-03-03,1780,1800,1755,1775,22928,0.0
2020-03-04,1745,1815,1745,1805,13970,0.016901408450704203
2020-03-05,1795,1885,1795,1885,18624,0.04432132963988922
